state,district,mandal,village
ANDHRA PRADESH,Adilabad,Kerameri,Sangvi
ANDHRA PRADESH,Adilabad,Kerameri,Keli Khurd
ANDHRA PRADESH,Adilabad,Kerameri,Bholepathur
ANDHRA PRADESH,Adilabad,Kerameri,Sankaraguda
ANDHRA PRADESH,Adilabad,Kerameri,Paraswada
ANDHRA PRADESH,Adilabad,Kerameri,Anarpalle
ANDHRA PRADESH,Adilabad,Kerameri,Devapur
ANDHRA PRADESH,Adilabad,Kerameri,Kerameri
ANDHRA PRADESH,Adilabad,Kerameri,Sakada
ANDHRA PRADESH,Adilabad,Kerameri,Modi
ANDHRA PRADESH,Adilabad,Kerameri,Khairi
ANDHRA PRADESH,Adilabad,Kerameri,Surdapur
ANDHRA PRADESH,Adilabad,Kerameri,Swarkheda
ANDHRA PRADESH,Adilabad,Kerameri,Indapur
ANDHRA PRADESH,Adilabad,Kerameri,Nishani
ANDHRA PRADESH,Adilabad,Kerameri,Kothari
ANDHRA PRADESH,Adilabad,Kerameri,Pipri
ANDHRA PRADESH,Adilabad,Kerameri,Goyagaon
ANDHRA PRADESH,Adilabad,Kerameri,Bheemangondi
ANDHRA PRADESH,Adilabad,Kerameri,Dhanora
ANDHRA PRADESH,Adilabad,Kerameri,Narsapur
ANDHRA PRADESH,Adilabad,Kerameri,Parda
ANDHRA PRADESH,Adilabad,Kerameri,Jhari
ANDHRA PRADESH,Adilabad,Kerameri,Hatti
ANDHRA PRADESH,Adilabad,Kerameri,Mettapipri
ANDHRA PRADESH,Adilabad,Kerameri,Chintakarra
ANDHRA PRADESH,Adilabad,Kerameri,Tukyanmovad
ANDHRA PRADESH,Adilabad,Kerameri,Chalbordi
ANDHRA PRADESH,Adilabad,Kerameri,Patnapur
ANDHRA PRADESH,Adilabad,Kerameri,Babejheri
ANDHRA PRADESH,Adilabad,Kerameri,Murikilanka
ANDHRA PRADESH,Adilabad,Kerameri,Nagapur
ANDHRA PRADESH,Adilabad,Kerameri,Kallegaon
ANDHRA PRADESH,Adilabad,Kerameri,Jodaghat
ANDHRA PRADESH,Adilabad,Wankdi,Wankdi
ANDHRA PRADESH,Adilabad,Wankdi,Dhaba
ANDHRA PRADESH,Adilabad,Wankdi,Sawathi
ANDHRA PRADESH,Adilabad,Wankdi,Goagaon
ANDHRA PRADESH,Adilabad,Wankdi,Chichpalle
ANDHRA PRADESH,Adilabad,Wankdi,Gunjada
ANDHRA PRADESH,Adilabad,Wankdi,Arli
ANDHRA PRADESH,Adilabad,Wankdi,Bambara
ANDHRA PRADESH,Adilabad,Wankdi,Sonapur
ANDHRA PRADESH,Adilabad,Wankdi,Mahagaon
ANDHRA PRADESH,Adilabad,Wankdi,Devadpalle
ANDHRA PRADESH,Adilabad,Wankdi,Jambuldhari
ANDHRA PRADESH,Adilabad,Wankdi,Lanjanveera
